,scheme_code,scheme_name,div_growth,div_reinvest,nav,nav_date
88,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.285,2020-01-02
83,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.056999999999995,2020-01-03
61,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.938,2020-01-06
65,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.168,2020-01-07
62,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.032,2020-01-08
79,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.903,2020-01-09
89,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.486000000000004,2020-01-13
92,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.681999999999995,2020-01-14
94,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.773999999999994,2020-01-16
93,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.755,2020-01-17
87,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.191,2020-01-20
78,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.89,2020-01-21
72,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.623999999999995,2020-01-22
85,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.144,2020-01-23
90,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.49,2020-01-24
81,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.943000000000005,2020-01-27
71,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.61600000000001,2020-01-28
77,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.88,2020-01-29
67,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.431000000000004,2020-01-30
64,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.135,2020-01-31
55,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.135,2020-02-03
59,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.898,2020-02-04
75,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.851000000000006,2020-02-06
76,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.857,2020-02-07
73,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.79,2020-02-11
84,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.06399999999999,2020-02-12
82,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.993,2020-02-13
70,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.523999999999994,2020-02-14
66,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.215,2020-02-17
63,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.099,2020-02-18
74,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.836000000000006,2020-02-19
80,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.93899999999999,2020-02-20
60,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-02-24
58,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-02-25
57,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-02-26
56,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-02-27
51,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-02-28
50,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-03-02
54,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-03-03
52,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-03-04
49,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,2020-03-06
48,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,50.701,2020-03-09
47,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,50.635,2020-03-11
44,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,46.445,2020-03-12
46,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,48.306999999999995,2020-03-13
36,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.881,2020-03-16
24,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.971000000000004,2020-03-17
10,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.971000000000004,2020-03-18
6,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.541,2020-03-19
13,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.541,2020-03-20
0,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,36.768,2020-03-23
1,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,37.772,2020-03-24
3,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.895,2020-03-25
8,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,2020-03-26
9,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,2020-03-27
5,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.122,2020-03-30
7,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.452,2020-03-31
4,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.068000000000005,2020-04-01
2,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.123000000000005,2020-04-03
14,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.123000000000005,2020-04-07
15,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.123000000000005,2020-04-08
27,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.098,2020-04-09
20,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.458,2020-04-13
22,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.9,2020-04-16
38,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.201,2020-04-17
41,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.315,2020-04-20
21,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.89,2020-04-21
35,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.783,2020-04-22
40,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.276,2020-04-23
33,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.566,2020-04-24
39,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.242,2020-04-27
42,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.588,2020-04-28
43,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,46.244,2020-04-29
45,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,47.326,2020-04-30
34,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.708999999999996,2020-05-04
32,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.464,2020-05-06
28,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.163999999999994,2020-05-07
31,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.37,2020-05-08
30,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.364,2020-05-11
26,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.071000000000005,2020-05-12
37,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.967,2020-05-13
25,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.063,2020-05-14
11,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.063,2020-05-18
12,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.063,2020-05-19
17,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.063,2020-05-20
19,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.44,2020-05-21
16,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.44,2020-05-22
